leading_item_id,following_item_id,value
DNMPSKTB,WBLJNPZQ,355773
DNMPSKTB,XIFHSOWQ,310827
DNMPSKTB,XIIEJNEE,221198
DNMPSKTB,XUOIQPFL,2734088
DNMPSKTB,ZGJXVMNI,2595989
DNMPSKTB,ZKENOUDA,647774
DUCMGGNW,BLANHGYY,222511
DUCMGGNW,OGAFEHLU,264511
DUCMGGNW,RJGPVEXX,844975
DUCMGGNW,UXSPKBJR,713581
ELQGMQWE,AANGBULD,403237
ELQGMQWE,DEWLVASR,597410
ELQGMQWE,FITUEHWN,274322
ELQGMQWE,FQCLOEXA,1880417
ELQGMQWE,FTSVTTSR,312868
ELQGMQWE,GYHKIVQT,18507676
ELQGMQWE,HXYSSRXE,5692259
ELQGMQWE,JSLXRQOK,207649
ELQGMQWE,KEUWZRKO,684816
ELQGMQWE,KJNSOAHR,11612935
ELQGMQWE,LLHREMKS,264022
ELQGMQWE,NAQIHUKZ,214711
ELQGMQWE,OKMBFVKS,2260751
ELQGMQWE,SDWAYPIK,5594924
ELQGMQWE,UIFPPCLR,398404
ELQGMQWE,WBLJNPZQ,467781
ELQGMQWE,XIIEJNEE,239182
ELQGMQWE,XUOIQPFL,2883228
ELQGMQWE,ZKENOUDA,484214
EVBVXETX,ATLDMDBO,44708808
EVBVXETX,BJALXPFS,341644
EVBVXETX,BLANHGYY,221215
EVBVXETX,DNMPSKTB,5114202
EVBVXETX,FDXPMYGF,214928
EVBVXETX,FQCLOEXA,1873201
EVBVXETX,FRHNWLNI,1154436
EVBVXETX,IGDVVKUD,204207
EVBVXETX,KEUWZRKO,657136
EVBVXETX,KJNSOAHR,11583751
EVBVXETX,LUENUFGA,4151884
EVBVXETX,MIRCVAMV,330539
EVBVXETX,NZKBIBNU,426024
EVBVXETX,QRKRBYJL,2303786
EVBVXETX,RCBZUSIM,209517
EVBVXETX,SAHWCZNH,1830271
EVBVXETX,WPQXWHYO,10494430
EVBVXETX,XIFHSOWQ,394795
EVBVXETX,XIPPENFQ,423758
EVBVXETX,ZCELVYQU,208672
FCYBOAXC,FRHNWLNI,857476
FCYBOAXC,FWUCPMMW,0
FCYBOAXC,QKXNTIIB,1505012
FCYBOAXC,VUAFAIYJ,312753
FDXPMYGF,BSRMSVTC,411685
FDXPMYGF,DUCMGGNW,888844
FDXPMYGF,FITUEHWN,271410
FDXPMYGF,HCDTGMST,218073
FDXPMYGF,HXYSSRXE,5568783
FDXPMYGF,JERHKLYW,234745
FDXPMYGF,JPBRUTWP,5563881
FDXPMYGF,KEUWZRKO,575928
FDXPMYGF,LUENUFGA,4017095
FDXPMYGF,OGAFEHLU,234543
FDXPMYGF,PYZMVUWD,220307
FDXPMYGF,SUOYXCHP,196701
FDXPMYGF,TGOELCAG,251754
FDXPMYGF,VMAQSTJE,265426
FDXPMYGF,WBLJNPZQ,362165
FDXPMYGF,WPQXWHYO,10666470
FDXPMYGF,WQMVCOEM,251418
FDXPMYGF,XIFHSOWQ,316443
FITUEHWN,KJNSOAHR,11612823
FITUEHWN,RCBZUSIM,211405
FITUEHWN,SAAYMURU,228181
FITUEHWN,STZDBITS,20980829
FQCLOEXA,AXULOHBQ,369320
FQCLOEXA,BSRMSVTC,557453
FQCLOEXA,DEWLVASR,584386
FQCLOEXA,EVBVXETX,5040212
FQCLOEXA,FITUEHWN,257906
FQCLOEXA,FRHNWLNI,1194660
FQCLOEXA,IGDVVKUD,233071
FQCLOEXA,KEUWZRKO,689208
FQCLOEXA,LUENUFGA,4168143
FQCLOEXA,NZKBIBNU,447368
FQCLOEXA,PYZMVUWD,342139
FQCLOEXA,QJQJSWFU,458190
FQCLOEXA,SAHWCZNH,1845355
FQCLOEXA,SNHYOVBM,377873
FQCLOEXA,WPQXWHYO,10529382
FQCLOEXA,XIFHSOWQ,414819
FQCLOEXA,XIPPENFQ,451534
FQCLOEXA,ZCELVYQU,230032
FQCLOEXA,ZKENOUDA,502102
FQCLOEXA,ZXERAXWP,241301
FRHNWLNI,ATLDMDBO,44682440
FRHNWLNI,BLANHGYY,251015
FRHNWLNI,DNMPSKTB,5098270
FRHNWLNI,DUCMGGNW,894508
FRHNWLNI,HXYSSRXE,5594930
FRHNWLNI,IGDVVKUD,246327
FRHNWLNI,LPHPPJUG,1463749
FRHNWLNI,LUENUFGA,4148274
FRHNWLNI,QRKRBYJL,2291340
FRHNWLNI,RCBZUSIM,227653
FRHNWLNI,VBYCLTYZ,531934
FTSVTTSR,DEWLVASR,594330
FTSVTTSR,GKQIJYDH,1829665
FTSVTTSR,KAGJCHMR,224705
FTSVTTSR,LLHREMKS,202086
FTSVTTSR,MBSBZBXA,4346440
FTSVTTSR,SAAYMURU,209693
FTSVTTSR,SNHYOVBM,369313
FTSVTTSR,STZDBITS,20981309
FTSVTTSR,TGOELCAG,236954
FTSVTTSR,XIIEJNEE,249542
FTSVTTSR,ZCELVYQU,227712
FWUCPMMW,AXULOHBQ,265440
FWUCPMMW,BLANHGYY,222111
FWUCPMMW,BSRMSVTC,446645
FWUCPMMW,FDXPMYGF,193400
FWUCPMMW,FTSVTTSR,298412
FWUCPMMW,JSLXRQOK,191841
FWUCPMMW,LLHREMKS,244766
FWUCPMMW,NAQIHUKZ,193359
FWUCPMMW,WBLJNPZQ,380093
FWUCPMMW,WHPUAOID,218418
FWUCPMMW,XIIEJNEE,229422
GKQIJYDH,FWUCPMMW,46825
GKQIJYDH,XMKRPGLB,963974
GKQIJYDH,YSYHGLQK,53419
GKQIJYDH,ZXERAXWP,211637
GYHKIVQT,AANGBULD,533053
GYHKIVQT,APQGTRMF,202719
GYHKIVQT,ATLDMDBO,44678696
GYHKIVQT,AXULOHBQ,195400
GYHKIVQT,BEZYMBBT,3529198
GYHKIVQT,BSRMSVTC,407637
GYHKIVQT,DEWLVASR,665906
GYHKIVQT,DNMPSKTB,5015472
GYHKIVQT,ELQGMQWE,789466
GYHKIVQT,EVBVXETX,5153813
GYHKIVQT,FQCLOEXA,1975793
GYHKIVQT,HXYSSRXE,5529770
GYHKIVQT,KEUWZRKO,507032
GYHKIVQT,KJNSOAHR,11677319
GYHKIVQT,LPHPPJUG,1406149
GYHKIVQT,NZKBIBNU,515504
GYHKIVQT,OGAFEHLU,202143
GYHKIVQT,OKMBFVKS,2074207
GYHKIVQT,QRKRBYJL,2242386
GYHKIVQT,QVLMOEYE,1283414
GYHKIVQT,RCBZUSIM,156685
GYHKIVQT,RJGPVEXX,810183
GYHKIVQT,SAHWCZNH,1662139
GYHKIVQT,SDWAYPIK,5434514
GYHKIVQT,UIFPPCLR,247828
GYHKIVQT,VWMBASNE,406337
GYHKIVQT,WBLJNPZQ,340965
GYHKIVQT,WPQXWHYO,10610662
GYHKIVQT,XUOIQPFL,2745320
GYHKIVQT,ZGJXVMNI,2564485
GYHKIVQT,ZKENOUDA,606846
GYHKIVQT,ZXERAXWP,289013
HCDTGMST,AHMDUILJ,330610
HCDTGMST,ATLDMDBO,44797768
HCDTGMST,BEZYMBBT,3676156
HCDTGMST,FRHNWLNI,1310444
HCDTGMST,JERHKLYW,200769
HCDTGMST,KEUWZRKO,545320
HCDTGMST,LUENUFGA,4023205
HCDTGMST,MBSBZBXA,4344320
HCDTGMST,RCBZUSIM,348509
HCDTGMST,STZDBITS,20982317
HCDTGMST,XIFHSOWQ,294443
HXYSSRXE,ATLDMDBO,44682792
HXYSSRXE,AXULOHBQ,240600
HXYSSRXE,BLANHGYY,201991
HXYSSRXE,BSRMSVTC,423125
HXYSSRXE,DEWLVASR,684154
HXYSSRXE,DNMPSKTB,5074084
HXYSSRXE,EVBVXETX,5200464
HXYSSRXE,FDXPMYGF,199400
HXYSSRXE,FQCLOEXA,2003833
HXYSSRXE,GYHKIVQT,18387628
HXYSSRXE,JBVHSUWY,501021
HXYSSRXE,JPBRUTWP,5514305
HXYSSRXE,KEUWZRKO,536736
HXYSSRXE,LPHPPJUG,1442061
HXYSSRXE,OGAFEHLU,233431
HXYSSRXE,PYZMVUWD,195387
HXYSSRXE,RAWUKQMJ,3821126
HXYSSRXE,RJGPVEXX,852647
HXYSSRXE,SAHWCZNH,1715891
HXYSSRXE,SDWAYPIK,5482008
HXYSSRXE,SUOYXCHP,197429
HXYSSRXE,UGEQLMXM,316670
HXYSSRXE,XIFHSOWQ,291275
HXYSSRXE,ZGJXVMNI,2608117
HXYSSRXE,ZKENOUDA,623542
IGDVVKUD,ATLDMDBO,44698824
IGDVVKUD,BLANHGYY,235927
IGDVVKUD,BSRMSVTC,468109
IGDVVKUD,BTMOEMEP,12397023
IGDVVKUD,DJBLNPNC,183706
IGDVVKUD,DNMPSKTB,5116544
IGDVVKUD,FDXPMYGF,219064
IGDVVKUD,FWUCPMMW,237985
IGDVVKUD,HXYSSRXE,5579610
IGDVVKUD,LRVGFDFM,6264740
IGDVVKUD,QRKRBYJL,2307290
IGDVVKUD,QVLMOEYE,1330554
IGDVVKUD,ROACSLMG,2264519
IGDVVKUD,SDWAYPIK,5494784
IGDVVKUD,SNHYOVBM,376585
IGDVVKUD,SUOYXCHP,215053
IGDVVKUD,UGEQLMXM,347022
IGDVVKUD,UXSPKBJR,703093
IGDVVKUD,VBYCLTYZ,501822
IGDVVKUD,WHPUAOID,266546
IGDVVKUD,WQMVCOEM,274778
JBVHSUWY,APQGTRMF,255295
JBVHSUWY,BEZYMBBT,3581670
JBVHSUWY,ELQGMQWE,848854
JBVHSUWY,FTSVTTSR,308188
JBVHSUWY,KEUWZRKO,557496
JBVHSUWY,KJNSOAHR,11723543
JBVHSUWY,LLHREMKS,279822
JBVHSUWY,LTOYKIML,697268
JBVHSUWY,NAQIHUKZ,195695
JBVHSUWY,SAAYMURU,252277
JBVHSUWY,SUOYXCHP,243549
JBVHSUWY,VMAQSTJE,258050
JBVHSUWY,ZKENOUDA,623142
JERHKLYW,BEZYMBBT,3660184
JERHKLYW,DBWLZWNK,485919
JERHKLYW,QKXNTIIB,1719360
JERHKLYW,TGOELCAG,250858
JERHKLYW,VUAFAIYJ,688225
JERHKLYW,XIPPENFQ,333606
JPBRUTWP,APQGTRMF,227151
JPBRUTWP,ATLDMDBO,44655720
JPBRUTWP,AXULOHBQ,272584
JPBRUTWP,BEZYMBBT,3541692
JPBRUTWP,BTMOEMEP,12426991
JPBRUTWP,DEWLVASR,674770
JPBRUTWP,DNMPSKTB,5066484
JPBRUTWP,ELQGMQWE,836586
JPBRUTWP,FDXPMYGF,224304
JPBRUTWP,FQCLOEXA,2015765
JPBRUTWP,GYHKIVQT,18364268
JPBRUTWP,HXYSSRXE,5563188
JPBRUTWP,JBVHSUWY,472909
JPBRUTWP,KJNSOAHR,11727783
JPBRUTWP,OGAFEHLU,228759
JPBRUTWP,OKMBFVKS,2098911
JPBRUTWP,OXKURKXR,253693
JPBRUTWP,QRKRBYJL,2272162
JPBRUTWP,QVLMOEYE,1297354
JPBRUTWP,RCBZUSIM,190197
JPBRUTWP,RJGPVEXX,823711
JPBRUTWP,SDWAYPIK,5458936
JPBRUTWP,UGEQLMXM,299806
JPBRUTWP,VBYCLTYZ,497462
JPBRUTWP,VWMBASNE,428385
JPBRUTWP,WBLJNPZQ,364309
JPBRUTWP,XUOIQPFL,2781268
JPBRUTWP,ZGJXVMNI,2607141
JPBRUTWP,ZKENOUDA,629062
JSLXRQOK,BUZIIBYG,15441158
JSLXRQOK,DJBLNPNC,209778
JSLXRQOK,FTSVTTSR,265964
JSLXRQOK,KJNSOAHR,11613223
JSLXRQOK,LLHREMKS,233822
JSLXRQOK,NAQIHUKZ,163863
JSLXRQOK,SAAYMURU,250469
JSLXRQOK,STZDBITS,21005933
JSLXRQOK,TGOELCAG,255090
JSLXRQOK,XIIEJNEE,224582
KAGJCHMR,AANGBULD,432933
KAGJCHMR,DDEXPPXU,220410
KAGJCHMR,FQCLOEXA,1905749
KAGJCHMR,FWUCPMMW,213201
KAGJCHMR,GKQIJYDH,1805633
KAGJCHMR,JERHKLYW,231705
KAGJCHMR,JSLXRQOK,231945
KAGJCHMR,LTOYKIML,568788
KAGJCHMR,RJGPVEXX,738239
KAGJCHMR,ZKENOUDA,515478
KEUWZRKO,EVBVXETX,5181984
KEUWZRKO,FRHNWLNI,1311060
KEUWZRKO,LUENUFGA,4019673
KEUWZRKO,NZKBIBNU,572808
KEUWZRKO,RJGPVEXX,821535
KEUWZRKO,SAHWCZNH,1697603
KEUWZRKO,UIFPPCLR,293476
KEUWZRKO,VWMBASNE,450745
KEUWZRKO,WPQXWHYO,10659654
KEUWZRKO,XIFHSOWQ,268611
KEUWZRKO,XIPPENFQ,326574
KJNSOAHR,BTMOEMEP,12427055
KJNSOAHR,EVBVXETX,5024589
KJNSOAHR,FCYBOAXC,107737270
KJNSOAHR,GKQIJYDH,1802609
KJNSOAHR,IGDVVKUD,221391
KJNSOAHR,LRVGFDFM,6236336
KJNSOAHR,QRKRBYJL,2278382
KJNSOAHR,QVLMOEYE,1319138
KJNSOAHR,RCBZUSIM,212245
KJNSOAHR,UGEQLMXM,286846
KJNSOAHR,VBYCLTYZ,510958
KJNSOAHR,ZCELVYQU,205544
LLHREMKS,AANGBULD,448477
LLHREMKS,BLANHGYY,242479
LLHREMKS,ELQGMQWE,719926
LLHREMKS,FWUCPMMW,212337
LLHREMKS,GKQIJYDH,1796497
LLHREMKS,KAGJCHMR,209313
LLHREMKS,KJNSOAHR,11635687
LLHREMKS,LSOIUSXD,377101
LLHREMKS,MBSBZBXA,4331628
LLHREMKS,QKXNTIIB,1733316
LLHREMKS,STZDBITS,20969613
LLHREMKS,UGEQLMXM,324046
LLHREMKS,VBYCLTYZ,548766
LLHREMKS,XIIEJNEE,244462
LLHREMKS,YSYHGLQK,228443
LLHREMKS,ZCELVYQU,208552
LLHREMKS,ZXERAXWP,218333
LPHPPJUG,AHMDUILJ,305522
LPHPPJUG,AXULOHBQ,385200
LPHPPJUG,DDEXPPXU,208162
LPHPPJUG,DJBLNPNC,228482
LPHPPJUG,EVBVXETX,5062157
LPHPPJUG,FQCLOEXA,1876085
LPHPPJUG,HXYSSRXE,5687524
LPHPPJUG,KEUWZRKO,695280
LPHPPJUG,LUENUFGA,4158773
LPHPPJUG,NZKBIBNU,447512
LPHPPJUG,OGAFEHLU,381735
LPHPPJUG,SAHWCZNH,1859879
LPHPPJUG,VMAQSTJE,386594
LPHPPJUG,ZKENOUDA,506014
LRVGFDFM,APQGTRMF,211143
LRVGFDFM,ATLDMDBO,44630504
LRVGFDFM,AXULOHBQ,223960
LRVGFDFM,BTMOEMEP,12382863
LRVGFDFM,DBWLZWNK,316183
